,City,Country,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
355,Dauphin,CA,51.1494,-100.0502,33.94,80,100,19.57,1644330452
356,Moose Factory,CA,51.2585,-80.6094,-16.6,76,0,2.3,1644330453
357,Meadow Lake,US,34.8014,-106.5436,33.69,57,7,4.16,1644330453
358,Ubari,LY,26.5921,12.7805,72.57,9,0,9.82,1644330454
359,Saýat,TM,38.7839,63.8803,46.27,35,8,4.85,1644330454
360,Ambulu,ID,-8.345,113.6058,77.81,87,98,2.19,1644330454
361,Port Lincoln,AU,-34.7333,135.8667,62.89,90,0,7.56,1644330455
362,Raudeberg,NO,61.9875,5.1352,40.19,88,100,11.99,1644330455
363,Podyuga,RU,61.095,40.8647,24.67,96,100,6.51,1644330455
364,Paranaíba,BR,-19.6772,-51.1908,81.63,68,67,3.15,1644330456
365,Manzanillo,CU,20.3433,-77.1167,77.72,67,0,4.0,1644330456
366,Cap Malheureux,MU,-19.9842,57.6142,81.46,68,10,5.01,1644330456
367,Ballina,AU,-28.8667,153.5667,62.78,94,0,0.0,1644330457
368,Nyurba,RU,63.2842,118.3319,-13.22,98,100,4.94,1644330457
369,Nizhniy Ufaley,RU,55.9153,59.9842,5.97,98,87,5.91,1644330457
370,Colac,AU,-38.3333,143.5833,71.08,66,100,6.82,1644330458
371,Aranos,NA,-24.1333,19.1167,87.15,27,99,0.85,1644330458
372,Caravelas,BR,-17.7125,-39.2481,85.62,59,100,6.8,1644330459
373,Amahai,ID,-3.3333,128.9167,79.66,85,100,2.84,1644330459
374,Chapais,CA,49.7834,-74.8492,13.78,94,95,6.85,1644330315
375,Kloulklubed,PW,7.0419,134.2556,79.3,80,100,21.23,1644330459
376,Batié,BF,9.8833,-2.9167,97.43,8,97,7.02,1644330460
377,Kenai,US,60.5544,-151.2583,29.08,91,100,24.16,1644330460
378,Tanabe,JP,33.7333,135.3667,43.93,66,65,4.0,1644330461
379,Salalah,OM,17.0151,54.0924,80.69,12,0,17.27,1644330461
380,Malakal,SS,9.5334,31.6605,93.54,14,38,4.61,1644330461
381,Nilai,MY,2.8169,101.7956,80.28,88,20,0.0,1644330462
382,Manado,ID,1.487,124.8455,75.97,94,40,2.3,1644330462
383,Ransang,PH,8.9603,117.5828,79.11,80,73,4.63,1644330463
384,Kasongo,CD,-4.45,26.6667,83.91,63,36,2.95,1644330463
385,Abengourou,CI,6.7297,-3.4964,100.65,20,9,4.92,1644330463
386,Shelburne,CA,44.0787,-80.2041,24.28,91,81,7.45,1644330464
387,Seddon,AU,-37.8068,144.8916,72.21,65,0,6.91,1644330464
388,Pokhara,NP,28.2333,83.9833,51.51,86,83,0.85,1644330465
389,Belyy Yar,RU,53.6039,91.3903,-0.51,85,97,4.47,1644330465
390,San Martín,AR,-33.081,-68.4681,79.34,34,0,4.92,1644330465
391,Kiunga,PG,-6.1219,141.2906,74.82,99,100,4.41,1644330466
392,Harper,LR,4.375,-7.7169,83.61,68,37,10.09,1644330466
393,West Bay,KY,19.3667,-81.4167,82.08,78,20,4.61,1644330215
394,Soe,ID,-9.8607,124.284,68.45,93,100,3.04,1644330467
395,Mwandiga,TZ,-4.83,29.6581,75.78,77,92,3.4,1644330467
396,Port Said,EG,31.2565,32.2841,65.48,56,0,10.71,1644330467
397,Kota Kinabalu,MY,5.9749,116.0724,78.78,94,40,3.44,1644330468
398,Chaihe,CN,44.7667,129.7,-1.8,98,15,3.94,1644330468
399,Tomé,CL,-36.6167,-72.95,65.01,49,81,7.7,1644330468
400,Avera,US,33.194,-82.5271,41.72,70,100,7.58,1644330469
401,Morón,AR,-34.6534,-58.6198,73.99,53,0,3.8,1644330469
402,Giyani,ZA,-23.3025,30.7187,89.78,37,6,8.03,1644330469
403,Catuday,PH,16.2923,119.8062,78.44,80,100,10.98,1644330470
404,Urla,TR,38.3229,26.764,53.2,70,57,5.64,1644330470
405,Sitka,US,57.0531,-135.33,44.49,87,100,13.8,1644330470
406,Puno,PE,-15.8333,-70.0333,49.57,75,99,5.1,1644330471
407,Bay Roberts,CA,47.5999,-53.2648,33.04,80,100,5.99,1644330471
408,Oranjemund,NA,-28.55,16.4333,70.52,70,18,18.48,1644330471
409,Ennis,IE,52.8436,-8.9864,54.07,100,75,10.36,1644330472
410,Severo-Kuril'sk,RU,50.6789,156.125,28.17,96,91,3.89,1644330472
411,Natalio,PY,-26.7167,-55.0833,82.26,30,0,4.43,1644330472
412,Yumen,CN,40.2833,97.2,21.09,49,3,9.55,1644330473
413,Carballo,ES,43.213,-8.691,65.89,62,2,2.3,1644330473
414,Ternate,ID,0.8,127.4,78.57,86,100,6.33,1644330473
415,Saint Anthony,US,45.0205,-93.218,21.29,83,0,6.91,1644330265
416,Oruzgan,AF,32.8333,66.0,40.84,45,55,1.12,1644330474
417,Radford,US,37.1318,-80.5764,35.65,63,0,9.22,1644330474
418,Yulara,AU,-25.2406,130.9889,80.44,57,100,5.75,1644330475
419,Richards Bay,ZA,-28.783,32.0377,80.64,59,0,7.99,1644330475
420,Maridi,SS,4.9158,29.4742,93.87,14,63,5.55,1644330475
421,Jaisalmer,IN,26.9147,70.9181,74.68,31,99,10.98,1644330476
422,Gizo Government Station,SB,-8.103,156.8419,82.69,75,100,8.48,1644330476
423,Les Escoumins,CA,48.1111,-69.0236,22.35,94,98,8.14,1644330476
424,Bélapátfalva,HU,48.05,20.3667,41.86,57,85,9.53,1644330477
425,Botwood,CA,49.1499,-55.3482,30.9,92,100,8.9,1644330477
426,Deer Lake,CA,49.1667,-57.4316,24.66,93,100,3.44,1644330478
427,Gewanē,ET,10.1664,40.6453,89.55,25,85,9.01,1644330478
428,Kirando,TZ,-7.4167,30.6,77.94,68,43,1.86,1644330478
429,Aklavik,CA,68.2191,-135.0107,-37.37,100,85,1.7,1644330479
430,Mayumba,GA,-3.432,10.6554,81.72,79,64,10.94,1644330479
431,Yinchuan,CN,38.4681,106.2731,19.54,74,2,0.76,1644330479
432,San Ramon,US,37.7799,-121.978,54.28,76,0,0.0,1644330480
433,Nyaunglebin,MM,17.95,96.7333,69.89,39,8,4.38,1644330480
434,Qui Nhon,VN,13.7667,109.2333,74.7,91,88,5.77,1644330300
435,Sisimiut,GL,66.9395,-53.6735,-2.83,95,100,17.34,1644330481
436,Visby,SE,57.6409,18.296,43.05,87,0,10.36,1644330481
437,Sur,OM,22.5667,59.5289,70.12,57,0,17.4,1644330481
438,Broken Hill,AU,-31.95,141.4333,76.71,41,40,3.44,1644330482
439,Poshekhon'ye,RU,58.4993,39.1353,32.58,93,100,8.41,1644330482
440,Pacific Grove,US,36.6177,-121.9166,55.17,67,0,6.91,1644330313
441,Hamilton,US,39.1834,-84.5333,23.36,85,100,8.05,1644330214
442,Dingzhou,CN,38.5131,114.9956,24.91,43,23,1.54,1644330483
443,Leshukonskoye,RU,64.8989,45.7622,18.88,93,100,7.99,1644330483
444,High Rock,BS,26.6208,-78.2833,73.42,69,12,6.17,1644330484
445,Kachug,RU,53.9606,105.8817,-4.63,100,93,3.87,1644330484
446,Octeville,FR,49.6261,-1.6435,51.66,93,100,16.11,1644330484
447,São Félix do Xingu,BR,-6.6447,-51.995,84.0,71,80,1.54,1644330379
448,Vostok,RU,46.4856,135.8833,0.39,99,100,3.49,1644330485
449,Broome,US,42.2506,-75.833,30.38,79,100,4.61,1644330485
450,Havøysund,NO,70.9963,24.6622,29.28,72,100,26.22,1644330486
451,Uyuni,BO,-20.4597,-66.825,53.82,50,95,3.4,1644330486
452,Casper,US,42.8666,-106.3131,33.51,59,0,6.91,1644330487
453,Katobu,ID,-4.9408,122.5276,76.21,91,100,1.01,1644330487
454,Kaupanger,NO,61.1845,7.2404,36.1,93,100,9.22,1644330487
455,Togur,RU,58.3631,82.8265,-12.24,99,14,5.37,1644330488
456,Majene,ID,-3.5403,118.9707,78.33,87,100,3.91,1644330488
457,Albufeira,PT,37.0882,-8.2503,64.24,68,4,19.48,1644330489
458,Rodrigues Alves,BR,-7.738,-72.6509,73.6,92,100,1.03,1644330489
459,Litomyšl,CZ,49.8681,16.313,43.75,92,100,15.43,1644330489
460,Guararapes,BR,-21.2608,-50.6428,80.01,69,16,5.35,1644330490
461,Duvergé,DO,18.3784,-71.5247,71.65,68,43,6.26,1644330490
462,Aykhal,RU,66.0,111.5,-26.64,100,96,6.73,1644330490
463,Pozo Colorado,PY,-23.4923,-58.7972,85.78,19,1,6.17,1644330491
464,Saldanha,ZA,-33.0117,17.9442,78.85,81,71,15.59,1644330491
465,Ancud,CL,-41.8697,-73.8203,62.22,72,89,5.86,1644330491
466,Songea,TZ,-10.6833,35.65,77.05,66,67,1.86,1644330492
467,Batman,TR,37.8874,41.1322,43.14,75,100,10.36,1644330492
468,Abhā,SA,18.2164,42.5053,62.42,59,20,11.5,1644330492
469,Zhuhai,CN,22.2769,113.5678,61.05,77,40,16.11,1644330493
470,Washougal,US,45.5826,-122.3534,41.65,96,100,3.44,1644330493
471,Nanortalik,GL,60.1432,-45.2371,13.14,60,1,41.7,1644330493
472,Westport,US,41.1415,-73.3579,40.75,89,75,9.22,1644330494
473,Bac Lieu,VN,9.285,105.7244,79.03,82,45,16.53,1644330494
474,St. George's,GD,12.0564,-61.7485,83.88,61,20,5.75,1644330494
475,Laas,IT,46.6166,10.7002,52.02,79,4,6.58,1644330495
476,Bosaso,SO,11.2842,49.1816,78.78,69,0,18.41,1644330495
477,Kérouané,GN,9.2667,-9.0167,94.53,9,28,7.0,1644330495
478,Port Macquarie,AU,-31.4333,152.9167,64.36,86,5,4.54,1644330496
479,Tula,RU,54.2044,37.6111,31.28,96,100,6.62,1644330496
480,Pevek,RU,69.7008,170.3133,-30.71,99,53,4.72,1644330496
481,Ende,ID,-8.8432,121.6623,79.0,87,100,0.72,1644330497
482,Normandin,CA,48.8333,-72.5321,15.93,92,98,5.75,1644330497
483,Llangefni,GB,53.2556,-4.3106,55.65,87,75,21.85,1644330497
484,Shingū,JP,33.7333,135.9833,43.92,88,92,5.91,1644330498
485,Puerto Escondido,MX,15.85,-97.0667,74.44,78,5,4.29,1644330498
486,Booué,GA,-0.0921,11.9385,96.6,33,38,4.36,1644330498
487,Wisch,NL,51.9265,6.4171,53.08,77,89,7.0,1644330499
488,Katherine,AU,-14.4667,132.2667,80.92,83,75,0.0,1644330499
489,Chinhoyi,ZW,-17.3667,30.2,74.82,75,37,3.11,1644330500
490,Rongai,KE,-0.1733,35.8638,76.14,33,91,7.45,1644330500
491,Labuhan,ID,-6.8844,112.2051,79.14,88,100,10.56,1644330500
492,Nan,TH,18.8333,100.6667,69.3,30,64,0.6,1644330501
493,Boden,SE,65.8252,21.6886,26.6,96,100,4.79,1644330501
494,Todos Santos,MX,23.45,-110.2167,64.0,32,0,3.98,1644330501
495,Anloga,GH,5.7947,0.8973,91.62,72,84,14.0,1644330502
496,Tarakan,ID,3.3,117.6333,76.5,100,75,0.0,1644330502
497,Yar-Sale,RU,66.8333,70.8333,2.5,89,100,15.75,1644330503
498,Isiro,CD,2.7739,27.616,95.4,15,14,3.06,1644330503
499,Arinos,BR,-15.9169,-46.1056,75.87,74,99,2.75,1644330503
500,Vestmanna,FO,62.1564,-7.1664,32.92,80,75,28.77,1644330504
501,Mehamn,NO,71.0357,27.8492,28.31,88,60,17.85,1644330504
502,Dindori,IN,22.95,81.0833,64.49,27,0,2.19,1644330505
503,Mayo,US,38.8876,-76.5119,40.57,78,0,8.99,1644330505
504,Kānkon,IN,15.0167,74.0167,76.8,77,100,14.05,1644330505
505,San Juan Bautista,PE,-14.0108,-75.7358,66.83,55,65,4.52,1644330506
506,Two Rivers,US,44.1539,-87.5693,23.32,78,0,9.22,1644330506
507,Sørland,NO,67.667,12.6934,37.26,81,0,21.85,1644330506
508,Boende,CD,-0.2167,20.8667,102.16,18,52,2.57,1644330507
509,Gibara,CU,21.1097,-76.1317,79.92,76,9,9.71,1644330507
510,Montero,BO,-17.3333,-63.25,85.68,46,4,11.03,1644330508
511,Jalu,LY,29.0331,21.5482,67.78,38,98,16.6,1644330508
512,Bandarbeyla,SO,9.4942,50.8122,76.98,65,3,20.0,1644330508
513,George,ZA,-33.963,22.4617,76.55,69,0,5.75,1644330509
514,Lumphat,KH,13.4878,106.9816,81.95,60,25,9.6,1644330509
515,Pa Sang,TH,18.5262,98.9394,77.13,29,27,1.81,1644330509
516,Tigil',RU,57.8,158.6667,-1.26,90,86,3.67,1644330510
517,Rassvet,RU,46.8333,40.75,42.73,81,100,11.16,1644330510
518,Taltal,CL,-25.4,-70.4833,68.68,71,11,3.78,1644330299
519,Marsá Maţrūḩ,EG,31.3525,27.2453,65.97,39,6,16.2,1644330510
520,Lodja,CD,-3.4833,23.4333,86.41,51,100,1.48,1644330511
521,Pangody,RU,65.85,74.4859,-2.54,86,99,15.01,1644330511
522,Qādiān,IN,31.8178,75.3919,60.48,67,17,4.72,1644330511
523,San Andrés,CO,12.5847,-81.7006,82.42,69,20,6.91,1644330512
524,Iberia,US,29.9502,-91.7507,44.06,81,0,0.0,1644330512
525,Río Gallegos,AR,-51.6226,-69.2181,57.25,41,40,27.63,1644330480
526,Susuman,RU,62.7833,148.1667,-28.03,86,48,0.45,1644330513
527,De-Kastri,RU,51.4667,140.7833,10.65,88,100,12.71,1644330513
528,Troitsko-Pechorsk,RU,62.7084,56.1964,3.2,96,51,5.35,1644330513
529,Røros,NO,62.5747,11.3842,30.04,59,0,10.36,1644330514
530,Ibrā’,OM,22.6906,58.5334,73.42,23,0,3.27,1644330514
531,Chabahar,IR,25.2919,60.643,71.19,48,0,11.48,1644330514
532,Koné,NC,-21.0595,164.8658,79.3,91,100,11.05,1644330515
533,Ratnagiri,IN,16.9833,73.3,73.58,74,6,11.05,1644330515
534,Tazovsky,RU,67.4667,78.7,-2.45,87,100,14.85,1644330516
535,Kontagora,NG,10.3999,5.4695,98.85,9,55,5.1,1644330516
536,Staryy Nadym,RU,65.6118,72.6842,-2.18,87,100,14.99,1644330516
537,Constitución,CL,-35.3333,-72.4167,71.44,47,5,8.01,1644330310
538,Vágur,FO,61.4732,-6.8119,38.3,73,100,41.94,1644330517
539,Quesnel,CA,52.9999,-122.5029,37.9,75,100,8.05,1644330517
540,Khovd,MN,48.0056,91.6419,-10.08,79,12,4.07,1644330517
541,Krasnosel'kup,RU,65.7,82.4667,-11.87,93,100,9.84,1644330518
542,Ayagoz,KZ,47.9714,80.4392,6.6,96,85,9.64,1644330518
543,Urubichá,BO,-15.3833,-62.95,75.69,61,100,2.21,1644330518
544,Katangli,RU,51.7102,143.2326,12.88,94,100,16.42,1644330519
545,Banikoara,BJ,11.2985,2.4386,96.78,7,8,6.49,1644330519
546,College,US,64.8569,-147.8028,-2.25,73,75,6.91,1644330520
547,Aswān,EG,24.0934,32.907,81.36,12,0,5.59,1644330520
548,Puerto Madero,MX,14.7208,-92.4215,75.4,83,40,5.75,1644330520
549,Uruaçu,BR,-14.5247,-49.1408,70.16,96,100,3.65,1644330521
550,Kaya,BF,13.0917,-1.0844,93.0,7,28,12.1,1644330521
551,Beringovskiy,RU,63.05,179.3167,-23.19,94,6,11.1,1644330522
552,Saint-Augustin,CA,51.226,-58.6502,8.73,90,96,7.52,1644330522
553,Pokoynoye,RU,44.8097,44.2517,43.38,62,100,13.71,1644330522
554,Santa Rosa,PH,14.3122,121.1114,82.11,78,13,12.1,1644330523
555,Litovko,RU,49.2361,135.1742,-14.15,100,89,2.37,1644330523
556,Perūr,IN,10.9667,76.9,80.29,57,20,3.44,1644330523
557,Sawākin,SD,19.1059,37.3321,76.08,64,80,13.53,1644330523
558,Buta,CD,2.7858,24.73,100.17,13,61,0.29,1644330524
559,Maués,BR,-3.3836,-57.7186,83.48,72,100,3.87,1644330524
560,Neiafu,TO,-18.65,-173.9833,75.88,94,100,4.61,1644330524
561,Bull Savanna,JM,17.8868,-77.5902,75.31,75,7,6.85,1644330525
562,Imeni Poliny Osipenko,RU,52.4201,136.4853,-1.55,99,100,0.94,1644330525
563,Sambava,MG,-14.2667,50.1667,80.11,83,99,2.42,1644330526
