,City,Country, lat,Max Temp,Humidity,Cloudiness,Wind Speed,Date
414,Petropavlovsk-Kamchatskiy,RU,53.0452,28.99,59,75,17.9,1644165292
415,Balabac,PH,7.9868,80.47,79,87,18.23,1644165353
416,Nador,MA,35.174,61.05,77,75,10.36,1644165413
417,Arras,FR,50.293,50.68,93,99,27.85,1644165473
418,Kalmunai,LK,7.4167,76.8,79,97,7.63,1644165534
419,Pingshan,CN,22.9938,59.9,78,100,3.98,1644165594
420,Igarka,RU,67.4667,-15.79,100,84,7.54,1644165655
421,Jiazi,CN,22.8779,57.25,81,100,18.48,1644165715
422,Hibbing,US,47.4272,11.86,72,100,13.8,1644165775
423,Karlstad,SE,59.3793,34.36,80,41,9.22,1644165836
424,Qaqortoq,GL,60.7167,7.3,59,100,6.53,1644165896
425,Vīsāvadar,IN,21.3833,65.07,64,18,4.7,1644165957
426,Clyde River,CA,70.4692,-36.17,67,0,5.75,1644166017
427,Sai Buri,TH,6.7013,75.85,87,38,5.99,1644166077
428,Ruska Poliana,UA,49.417,31.03,86,76,10.04,1644166138
429,Kahului,US,20.8947,73.85,82,0,10.36,1644166258
430,Guerrero Negro,MX,27.9769,61.84,33,0,3.13,1644166239
431,Bambanglipuro,ID,-7.95,76.35,94,100,2.62,1644166379
432,Kenai,US,60.5544,20.14,92,0,0,1644166439
433,Abhā,SA,18.2164,55.22,82,0,5.75,1644166500
434,Chaman,PK,30.9236,48.63,36,53,5.5,1644166560
435,Port Hardy,CA,50.6996,45.75,81,100,11.5,1644166621
436,La Paz,BO,-16.5,53.58,71,75,5.75,1644166681
437,Ixtapa,MX,20.7,82.58,39,25,4.52,1644166741
438,Paracatu,BR,-17.2222,69.49,94,100,2.82,1644166802
439,La Santisima Trinidad,BO,-14.8333,70.92,99,100,5.3,1644166863
440,Chumikan,RU,54.7183,-8.99,87,92,9.69,1644166924
441,Tautira,PF,-17.7333,78.82,75,58,22.06,1644166912
442,Menzelinsk,RU,55.7271,25.84,100,100,2.24,1644167044
443,Port Blair,IN,11.6667,79.11,80,17,10.6,1644167071
444,Immenstadt,DE,47.561,41.02,58,100,11.01,1644167165
445,Leshukonskoye,RU,64.8989,15.13,92,100,9.08,1644167225
446,Port Hawkesbury,CA,45.6169,20.17,87,57,8.01,1644167286
447,São Pedro da Aldeia,BR,-22.8392,87.78,58,0,18.41,1644167346
448,Coyhaique,CL,-45.5752,77.61,40,7,3.67,1644167406
449,Te Anau,NZ,-45.4167,39.52,94,3,1.57,1644167443
450,Santo Ângelo,BR,-28.2992,85.46,28,0,13.44,1644167527
451,Doha,QA,25.2867,62.58,59,0,11.5,1644167587
452,Bagé,BR,-31.3314,74.98,43,75,18.41,1644167648
453,Whitehorse,CA,60.7161,30.97,86,75,16.11,1644167708
454,Yar-Sale,RU,66.8333,-14.48,100,68,6.35,1644167769
455,Chulumani,BO,-16.4096,63.14,97,100,1.21,1644167829
456,Natchez,US,31.5604,48.88,38,0,0,1644167890
457,Wanlaweyn,SO,2.6185,79.05,64,37,19.26,1644167950
458,Alugan,PH,12.2188,78.96,82,24,15.08,1644168010
459,Lompoc,US,34.6391,71.08,45,0,8.05,1644167801
460,Mango,US,27.9797,64.67,93,100,0,1644168131
461,Adzhamka,UA,48.5424,30.15,88,92,8.59,1644168191
462,Constitución,CL,-35.3333,72.52,54,3,7.2,1644168252
463,Presidencia Roque Sáenz Peña,AR,-26.7852,85.19,28,6,10.2,1644168312
464,Dobryanka,RU,58.4619,19.26,84,100,11.01,1644168432
465,Bogorodskoye,RU,56.55,21.09,97,94,5.66,1644168553
466,Cologne,DE,50.9333,46.81,87,40,1.99,1644168613
467,Esperance,AU,-33.8667,64.24,81,34,28.54,1644168674
468,Fort Nelson,CA,58.8053,4.59,85,40,5.75,1644168623
469,Sovetskiy,RU,61.3614,9.5,94,99,7.43,1644168794
470,Kikwit,CD,-5.041,75.56,81,81,2.3,1644168855
471,Narsaq,GL,60.9167,8.82,65,100,2.15,1644168915
472,Kousséri,CM,12.0769,82.36,12,0,8.05,1644168976
473,Beringovskiy,RU,63.05,-17.52,98,17,8.43,1644169036
474,Tamandaré,BR,-8.7597,85.35,56,71,12.03,1644169096
475,Xining,CN,36.6167,9.75,92,12,1.05,1644168966
476,Kodarmā,IN,24.4667,55.24,58,1,1.39,1644169217
477,Mangochi,MW,-14.4782,71.55,85,15,2.95,1644169278
478,Paraty,BR,-23.2178,88.7,90,100,1.07,1644169338
479,Pevek,RU,69.7008,-24.43,99,29,1.25,1644169399
480,Fasa,IR,28.9383,43.84,45,0,4.61,1644169459
481,Wonosobo,ID,-7.36,71.87,100,100,3.62,1644169520
482,North Bend,US,43.4065,50.14,76,0,5.75,1644169580
483,Lunenburg,CA,44.3835,21.49,61,5,5.93,1644169641
484,Laas,IT,46.6166,41.74,66,93,4.16,1644169701
485,Chiang Klang,TH,19.2938,63.59,98,67,1.54,1644169762
486,Pangai,TO,-19.8,78.73,81,100,23.96,1644169822
487,Gisborne,NZ,-38.6533,65.95,97,100,11.97,1644169883
488,Arraial do Cabo,BR,-22.9661,91.36,58,0,18.41,1644169890
489,Cayenne,GF,4.9333,82.09,84,75,5.01,1644170003
490,Talakan,RU,50.3167,-13.65,100,99,0.22,1644170064
491,Korla,CN,41.7597,24.26,46,9,5.08,1644170124
492,Nagato,JP,34.3833,40.91,60,79,11.45,1644170184
493,Alofi,NU,-19.0595,75.09,94,100,4.61,1644170245
494,Yokadouma,CM,3.5167,76.87,25,17,1.5,1644170365
495,Yining,CN,29.0361,35.11,99,100,4.25,1644170486
496,Klaksvík,FO,62.2266,36.52,60,88,36.8,1644170606
497,Celestún,MX,20.8667,73,83,75,13.87,1644170667
498,Haukipudas,FI,65.1765,28.45,93,88,17.49,1644170727
499,Atikokan,CA,48.7555,13.1,83,100,6.98,1644170788
500,Cidreira,BR,-30.1811,81.59,50,24,13.31,1644170848
501,De Aar,ZA,-30.6497,79.12,37,92,4.68,1644170909
502,Scottsbluff,US,41.8666,42.82,56,75,10,1644170969
503,Avera,US,33.194,49.75,43,70,10.51,1644171029
504,Langsa,ID,4.4683,73.99,95,99,0.58,1644171090
505,Birao,CF,10.2849,72.61,13,93,6.46,1644171150
506,Morón,AR,-34.6534,71.8,54,37,11.95,1644171211
507,San Andrés,CO,12.5847,84.22,61,20,13.8,1644171271
508,Tual,ID,-5.6667,82.44,78,100,7.56,1644171332
509,Adrar,MR,20.5022,77.31,7,0,7.81,1644171392
510,Semey,KZ,50.4111,-1.01,76,0,6.49,1644171453
511,Kapit,MY,2.0167,73.2,99,100,0.65,1644171513
512,Guaymas,MX,27.9333,67.89,37,0,0,1644171573
513,Muravlenko,RU,63.7898,-16.89,100,76,6.76,1644171634
514,Uzhur,RU,55.3036,2.34,92,100,4.65,1644171694
515,Swan River,CA,52.1058,-2.31,71,35,6.91,1644171755
516,Krasnyy Yar,RU,46.5331,28.33,70,73,5.01,1644171815
517,Beyneu,KZ,45.3167,28.4,79,71,6.91,1644171755
518,Zheleznodorozhnyy,RU,55.7503,23.22,99,100,3.49,1644171636
519,Shingū,JP,33.7333,38.91,73,9,6.53,1644171996
520,Gizo Government Station,SB,-8.103,83.08,78,96,12.8,1644171835
521,Hamilton,US,39.1834,38.1,60,0,1.99,1644172116
522,Mount Isa,AU,-20.7333,74.97,73,100,6.91,1644172177
523,Blenheim,NZ,-41.516,58.41,80,100,11.77,1644172237
524,Skjervøy,NO,70.0311,28.4,67,92,18.48,1644172297
525,Eureka,US,40.8021,56.01,77,9,1.99,1644172358
526,Albion,US,42.2431,33.19,58,0,12.66,1644172337
527,Batagay-Alyta,RU,67.8006,-24.63,99,100,2.48,1644172538
528,Weihe,CN,32.9952,28.18,90,97,2.24,1644172599
529,Mastic Beach,US,40.7668,32.2,68,0,1.01,1644172659
530,Brattvåg,NO,62.6002,39.51,75,75,11.5,1644172719
531,Durham,US,36.0335,45.52,40,0,1.01,1644172780
532,College,US,64.8569,-1.71,78,100,3.44,1644172840
533,Sioux Lookout,CA,50.1001,8.67,66,20,3.44,1644172901
534,Gravdal,NO,68.1214,33.48,69,40,4.61,1644172961
535,Rawson,AR,-43.3002,75.85,34,7,15.95,1644173022
536,Sitka,US,57.0531,44.49,81,100,18.41,1644173082
537,Lagunas,PE,-5.2269,81.36,70,99,2.01,1644173142
538,Broome,US,42.2506,29.62,63,0,3,1644173203
539,Wasilla,US,61.5814,26.4,87,100,0,1644173137
540,Bilma,NE,18.6853,65.66,14,0,8.52,1644173125
541,Saldanha,ZA,-33.0117,68.05,95,38,8.63,1644173301
542,Yulara,AU,-25.2406,69.64,43,0,6.91,1644173151
543,Carauari,BR,-4.8828,82.67,77,83,2.13,1644173504
544,Spokoynaya,RU,44.2468,25.45,92,31,10.6,1644173564
545,Xiaoweizhai,CN,26.1903,39.07,97,100,3.94,1644173625
546,Nishihara,JP,26.1842,58.28,65,75,6.91,1644173685
547,Auckland,NZ,-36.8667,68.22,97,100,7,1644173464
548,Fukuechō,JP,32.6881,43.88,62,95,17.6,1644173806
549,Santiago del Estero,AR,-27.7951,84.47,31,4,6.24,1644173866
550,Bud,US,39.447,38.75,56,0,6.93,1644173898
551,Gaza,PS,31.5,55.38,72,0,5.28,1644173987
552,Koumac,NC,-20.5667,78.66,87,100,7.56,1644174047
553,Kjøllefjord,NO,70.9457,22.01,84,14,19.75,1644174108
554,Seoul,KR,37.5683,17.04,50,4,4.38,1644174168
555,Ambon City,ID,-3.6954,75.34,94,40,5.75,1644174229
556,Zeya,RU,53.75,-6.9,95,97,3.04,1644174289
557,Lorengau,PG,-2.0226,81.01,79,100,7.58,1644174296
558,Datong,CN,40.0936,19.15,34,100,4.41,1644174410
559,Jiangyou,CN,31.7667,38.41,94,100,3.31,1644174530
560,Kota,IN,25.1833,61.27,33,0,1.45,1644174591
561,Grindavik,IS,63.8424,27.07,74,100,9.22,1644174651
562,Camacha,PT,33.0833,59.76,67,40,16.11,1644174711
563,Tuatapere,NZ,-46.1333,43.83,84,5,3,1644174772
564,Masuguru,TZ,-11.3667,75.07,86,100,3.2,1644174892
565,Sal Rei,CV,16.1833,72.16,73,75,17.27,1644174953
566,Bahía Blanca,AR,-38.7196,70.92,51,6,11.52,1644175013
567,Vanavara,RU,60.34,-13.76,100,93,2.48,1644174788
568,Khandyga,RU,62.6667,-39.08,99,100,2.35,1644175059
569,Jacmel,HT,18.2342,85.84,61,41,7.78,1644175194
570,Bologoye,RU,57.8799,29.57,88,100,8.32,1644175314
571,Los Algarrobos,PA,8.5,88.21,55,20,8.05,1644175375
572,Port Lincoln,AU,-34.7333,70.99,69,0,12.59,1644175435
